model,init,seed,n,eps,coarse_grid,k_fine,steps,energy_rel_drift,virial_0,virial_f,coarse_g4_0,coarse_g8_0,coarse_g16_0,fine_knn_all_0,fine_pk_0,fine_close_0,fine_vel_disp_0,fine_fof_0,d_coarse_g8_early,d_coarse_g8_mid,d_coarse_g8_late,d_coarse_g4_early,d_coarse_g4_late,d_coarse_g16_early,d_coarse_g16_late,d_hmr_early,d_hmr_late,status,message
direct_isolated,plummer3d,2000,256,0.05,8,16,600,0.00021406098281394039,1.5898959661578413,1.2218080657300638,94.628662109375,5.859188079833984,0.199673593044281,1511.4536630982034,253198941.21229577,0.13580126959450706,1.4973064848473183,193,-3.109832763671875,-2.774810791015625,-2.95263671875,-36.529296875,-43.21875,-0.09308576583862305,-0.10869598388671875,0.140721550023661,0.19909224014223098,ok,
direct_isolated,plummer3d,2001,256,0.05,8,16,600,0.00030989177174992137,1.7929680398804755,1.5419732344405743,77.870849609375,5.245784759521484,0.1787366271018982,1030.6979904775496,274589216.5404061,0.10420986800961127,1.4604320551513283,173,-3.458568572998047,-3.753368377685547,-3.644561767578125,-34.645263671875,-27.533203125,-0.09606283903121948,-0.1137089729309082,0.20165119900438477,0.26221431990665706,ok,
direct_isolated,plummer3d,2002,256,0.05,8,16,600,0.0007922453589681345,1.8885971942204332,1.7093956110710637,81.7958984375,6.0265960693359375,0.19328665733337402,1384.5048900901236,251258596.53716224,0.13675799869688968,1.5551167050889434,171,-3.8889617919921875,-3.8469085693359375,-4.075305938720703,-37.8310546875,-45.741455078125,-0.10556483268737793,-0.12248402833938599,0.22742792613238455,0.5415552386246436,ok,
direct_isolated,plummer3d,2003,256,0.05,8,16,600,0.0006438403315153702,1.826320774041555,1.6122757873218163,75.7958984375,5.7531585693359375,0.20158743858337402,1294.4385445863254,266018263.0805085,0.1306196632488598,1.5032308201205238,157,-3.952880859375,-4.48974609375,-3.8831024169921875,-26.609375,-31.6435546875,-0.12786483764648438,-0.12408900260925293,0.19864156295518398,0.2456456898822983,ok,
direct_isolated,plummer3d,2004,256,0.05,8,16,600,0.0002580009607848614,1.6749640476302494,1.3542062485446396,94.453125,6.484130859375,0.20922470092773438,1494.8295373557771,273037953.32481194,0.14160245526968787,1.5280338464565164,166,-3.9894142150878906,-4.40625,-3.3502540588378906,-48.588134765625,-48.056884765625,-0.11320739984512329,-0.10090118646621704,0.19005487666189896,0.1806485262843393,ok,
direct_isolated,plummer3d,2005,256,0.05,8,16,600,0.0016068060221651542,1.9526598427314144,1.8751235351547788,75.409912109375,5.105281829833984,0.167447030544281,983.1783003976346,271115652.3730879,0.10189143671460034,1.5164984773422814,183,-3.353759765625,-4.261180877685547,-3.709545135498047,-29.390625,-30.707763671875,-0.08688735961914062,-0.11151999235153198,0.20228511921263748,0.6348164748934678,ok,
direct_isolated,plummer3d,2006,256,0.05,8,16,600,0.0005737691614199752,1.8739589335520608,1.671973321874473,79.43359375,5.57757568359375,0.17809200286865234,1180.2540104379052,263780893.12169543,0.12079201241314173,1.538708910038101,172,-3.7793731689453125,-4.545291900634766,-4.165866851806641,-38.5361328125,-44.974853515625,-0.09091305732727051,-0.12005382776260376,0.20956705972735656,0.4699028677274123,ok,
direct_isolated,plummer3d,2007,256,0.05,8,16,600,9.77463623048198e-05,1.553220139318798,1.24729025720531,83.308349609375,6.515316009521484,0.2075452208518982,1484.3163285981614,264267299.49336487,0.14591356439880188,1.4395762514291681,176,-3.51226806640625,-3.055492401123047,-3.291698455810547,-22.53515625,-31.590576171875,-0.10041141510009766,-0.0965072512626648,0.11909128840843014,0.10493919724571321,ok,
direct_isolated,plummer3d,2008,256,0.05,8,16,600,0.00412326860720766,2.0218653194971314,2.0596540630967093,76.71484375,5.75335693359375,0.20201778411865234,1447.9206198199868,292801028.2246618,0.12716724009984484,1.6019735892217,168,-4.163272857666016,-4.424503326416016,-4.278629302978516,-36.808837890625,-31.566650390625,-0.1227598786354065,-0.1419573426246643,0.24245627149580734,0.5090850174832116,ok,
direct_isolated,plummer3d,2009,256,0.05,8,16,600,0.0002899123504021666,1.6858875019397537,1.397998844401128,83.784912109375,6.284969329833984,0.230435311794281,1465.0853231812382,276620387.6461792,0.14428682471822776,1.5234260452375954,170,-3.863842010498047,-3.810943603515625,-2.392650604248047,-34.489013671875,-7.895263671875,-0.11869162321090698,-0.12725943326950073,0.2010446840606534,0.20399545714046724,ok,
