delta_early,G,density
-382,0.43245379377431903,0.2538175409849776
-245,0.3725421348314607,0.11499898780298794
-139,0.26790048543689315,0.4867991877519482
-240,0.4537914691943128,0.40024378987813286
-229,0.2978409090909091,0.08053509489775708
-376,0.44354838709677424,0.22457727301961353
-357,0.4378898128898129,0.363492734058991
-231,0.12972383720930236,0.07129413614774086
-72,0.28782022968197885,0.4888025894375514
-275,0.4403153153153153,0.40569161914797136
-290,0.3403917910447761,0.09787802063098848
6,-0.2619154676258993,0.5621904360681698
-166,0.320578560371517,0.4852496568126628
-283,0.37812500000000004,0.36260527905616335
-245,0.4775957076566125,0.41402592319668285
-314,0.3406113537117904,0.18642445368579136
-29,0.1559436274509804,0.5329817828652671
-343,0.4269320539419087,0.35548384439333514
3,-0.1054981203007519,0.5780849478510246
-295,0.32746010638297873,0.12617517453476024
-274,0.13327850877192982,0.08630749325649054
-326,0.35503854625550657,0.14560583546792932
-126,0.20774501661129563,0.4850838755303245
-297,0.3200295961002786,0.1131013140725729
