world_id,world_seed,density,Nlive,Nocc8,A,Gfuture
108,1509057114604428464,0.30952763828594415,1218.2970297029703,173.07920792079207,26.97,0.03513257575757575
109,566918852622219561,0.24634181592047757,1199.8019801980197,177.37623762376236,23.72,-0.00893602916804773
110,2464415525750798575,0.29530242002036916,1415.5544554455446,185.31683168316832,31.01,-0.022582852673770654
111,2418296844757847739,0.29358380255123395,1492.8910891089108,191.8910891089109,36.16,0.02484031881016805
112,381105295900767719,0.20694765094926912,1293.4059405940593,175.12871287128712,30.25,0.05440301120448181
113,657977489074709854,0.3010952161677177,1170.4851485148515,166.95049504950495,22.53,0.09036576619650968
114,4412759518390153874,0.3240685983089578,1369.3762376237623,191.96039603960395,25.97,0.05186322034849988
115,2460121852336869955,0.26917223452940153,1525.4554455445545,190.4851485148515,29.73,-0.0512810963801579
116,370642817087297897,0.2608068210477041,1387.029702970297,177.8910891089109,27.69,-0.08318447797967354
117,1849745315832480569,0.31884602898419606,1668.4653465346535,205.63366336633663,31.73,0.0846699427108018
118,1548155503290087589,0.22303087652335923,1432.6831683168316,185.04950495049505,31.25,0.0404641587123339
119,1155620252835963506,0.30497705863584024,1434.039603960396,195.92079207920793,29.4,0.07902954600048043
120,3944123893886233048,0.26001389640411326,1296.2970297029703,181.7029702970297,29.56,0.2359073359073359
121,2328522652128919176,0.24407504632611504,1242.5841584158416,175.1980198019802,25.31,0.1342888823331943
122,2112129205310861692,0.21794885464835184,1540.3465346534654,197.1881188118812,32.89,-0.0290212542639727
123,1518038935272822557,0.27759494001499924,1385.990099009901,181.88118811881188,30.71,-0.006513221500415556
124,4609186612122085769,0.24320891876496542,1499.4158415841584,190.47524752475246,30.22,-0.15442427207133091
125,3089852506315234242,0.3060053487781579,1227.2178217821781,177.16831683168317,24.32,-0.007122849139655857
126,3331459535010021360,0.2821410687790081,1322.009900990099,180.9009900990099,25.41,0.05633802816901409
127,1853035358992745808,0.25617277465291016,1141.049504950495,168.14851485148515,27.53,-0.002699072431446084
128,3453887631306801584,0.324932024587552,1532.920792079208,199.34653465346534,29.63,0.12934668071654373
129,4058619203621329916,0.2714823618065287,1522.0891089108911,188.56435643564356,36.93,0.12322789435222882
130,15083989942769980,0.21610293288295615,1463.3366336633662,189.22772277227722,27.53,-0.07432224136367759
131,3854304863235670997,0.29875048040482904,1206.4158415841584,170.5742574257426,26.54,0.09324220397429853
132,3519617034954570094,0.30145728718741455,1248.1584158415842,184.63366336633663,34.94,0.052583802803720825
133,2722986096759195993,0.28762453264987475,1104.4455445544554,167.1980198019802,22.25,0.10621195304880096
134,916660907726780583,0.26182620838431986,1395.1386138613861,180.46534653465346,29.96,0.09826749826749828
135,2157752433103505105,0.29677294077353006,1499.970297029703,193.32673267326732,29.45,0.028538717153947096
136,1798310939576211745,0.26824447914702604,1595.4554455445545,202.77227722772278,32.07,0.09346911455345189
137,70123781046333455,0.3363057159263241,1382.2178217821781,182.2970297029703,26.33,0.17581070889894418
138,620236414206724801,0.20295796884418157,1461.2673267326732,194.30693069306932,32.32,0.1271576755176419
139,1900975297010550939,0.2961948514773569,1457.6534653465346,189.77227722772278,29.48,-0.035
140,2250846243913470549,0.24439547566731373,1379.4257425742574,190.21782178217822,30.14,0.13470248483337488
141,2376573493636979364,0.258963731355032,1343.8019801980197,179.47524752475246,35.96,0.025485112249727354
142,2201908472891740417,0.24582499033519095,1345.1683168316831,179.62376237623764,26.63,0.05232156916108591
143,2220096054275622862,0.2476173927985003,1279.950495049505,186.85148514851485,23.18,0.06009634367843324
144,2260450026137368860,0.25000506039564696,1235.950495049505,176.37623762376236,21.78,0.15903456471407793
145,2951579089864882915,0.28330294250409926,1358.5445544554455,180.76237623762376,32.55,-0.061276461854615896
146,2672121909283411914,0.28887580380557887,1528.5247524752476,197.67326732673268,32.41,0.0939124154065979
147,2539912169305695562,0.3372275400358695,1475.2970297029703,191.1881188118812,31.76,0.07876974138091775
148,3375637968487365336,0.34985396214108816,1345.069306930693,184.04950495049505,24.9,0.030614141038743853
149,3460217195095725549,0.2780074094454892,1376.5049504950496,185.1980198019802,28.94,0.026576229381840594
150,412004906386743578,0.2276179185453089,1400.3663366336634,185.56435643564356,33.52,0.11305754889545518
151,4070826883330546409,0.2937195193093854,1411.960396039604,191.9108910891089,30.5,0.11379178339626582
